id,title,label,filtered_words_str
R129,New Report on Election,REAL,"glass,remain,develop,teacher,firm,place.,community,direction,senior,sell,consider.,personal,product,water,base.,experts,discuss,ongoing,developments,election."
R227,New Report on Climate Change,REAL,"stay,wear,common,bed,away.,western,project.,west,rate,family,third,share,reflect.,experts,discuss,ongoing,developments,climate,change."
F231,Aliens Confirmed by Sources,FAKE,"support,listen,almost,partner,within.,man,seven,response,former.,investment,body,may.,—,shocking,claims,aliens,surface,internet."
R066,New Report on Policy,REAL,"subject,four,blood,message,seven,character.,whose,skin,interest.,experts,discuss,ongoing,developments,policy."
F095,Mind Control Confirmed by Sources,FAKE,"option,social,hour,drop.,source,action,bill,fly.,little,sea.,specific,plan,foot.,—,shocking,claims,mind,control,surface,internet."
R174,New Report on Policy,REAL,"choose,team,official,answer,left,trip.,similar,tend,specific,sit,chair,traditional,drop.,kid,process,us,value,something,age,near,decide.,experts,discuss,ongoing,developments,policy."
R201,New Report on Public Health,REAL,"across,talk,way,alone,play.,someone,manage,peace,eye,model.,experts,discuss,ongoing,developments,public,health."
R072,New Report on Education,REAL,"black,way,camera,day.,lead,use,week,security,employee,american.,budget,somebody,quite,kid,enjoy,design,through.,experts,discuss,ongoing,developments,education."
R064,New Report on Research,REAL,"money,sell,cost,full.,toward,particularly,wall,kitchen,want,total,yet.,close,prove,hit,task.,experts,discuss,ongoing,developments,research."
F037,Miracle Drug Confirmed by Sources,FAKE,"response,course,difficult,would.,job,loss,alone,send,beyond,style.,partner,enough,appear.,—,shocking,claims,miracle,drug,surface,internet."
R170,New Report on Technology Breakthrough,REAL,"study,support,buy,draw,one,necessary.,south,must,book.,experts,discuss,ongoing,developments,technology,breakthrough."
F110,Celebrity Scandal Confirmed by Sources,FAKE,"campaign,write,sound,real,national,management.,unit,environment,consumer,employee.,shake,reason,education,risk,wait,what.,—,shocking,claims,celebrity,scandal,surface,internet."
F048,Secret Cure Confirmed by Sources,FAKE,"seat,involve,cup,likely.,create,line,green,economic.,best,wonder,play,draw,body,road,kind.,game,attorney,alone,get.,—,shocking,claims,secret,cure,surface,internet."
F082,Hoax Confirmed by Sources,FAKE,"painting,small,ready,television,officer.,—,shocking,claims,hoax,surface,internet."
F187,Miracle Drug Confirmed by Sources,FAKE,"voice,member,different.,get,teacher,data.,figure,believe,town.,—,shocking,claims,miracle,drug,surface,internet."
F027,Miracle Drug Confirmed by Sources,FAKE,"instead,coach,physical,break,discover,respond.,news,already,maintain,arrive,time.,five,three,understand.,—,shocking,claims,miracle,drug,surface,internet."
F202,Hoax Confirmed by Sources,FAKE,"perform,create,group,watch,whole,eye,risk,stage.,education,stand,thus,exist,campaign,author.,argue,owner,start,beautiful.,—,shocking,claims,hoax,surface,internet."
F197,Secret Cure Confirmed by Sources,FAKE,"like,area,exactly,knowledge.,personal,property,single,mrs,officer,respond.,though,contain,piece,right,congress,rule.,vote,region,significant,sister,speech.,—,shocking,claims,secret,cure,surface,internet."
R128,New Report on Climate Change,REAL,"police,upon,four.,season,store,nation,change,defense,war,design.,experts,discuss,ongoing,developments,climate,change."
F157,Government Cover-Up Confirmed by Sources,FAKE,"participant,traditional,none,plant.,seat,save,huge,arrive,security.,free,serious,film,company,term,measure.,wind,continue,fast,difference,experience.,—,shocking,claims,government,cover-up,surface,internet."
F117,Hoax Confirmed by Sources,FAKE,"deal,weight,task,tell,well,against.,—,shocking,claims,hoax,surface,internet."
F173,Secret Cure Confirmed by Sources,FAKE,"hospital,air,pressure,language.,theory,answer,make,born,though.,—,shocking,claims,secret,cure,surface,internet."
F024,Aliens Confirmed by Sources,FAKE,"federal,main,medical,college,charge,development.,painting,able,indeed,see,do.,camera,thus,perform.,—,shocking,claims,aliens,surface,internet."
F096,Celebrity Scandal Confirmed by Sources,FAKE,"certainly,song,learn,vote,whose,pass.,message,occur,risk,fill,art,occur.,—,shocking,claims,celebrity,scandal,surface,internet."
R247,New Report on Public Health,REAL,"impact,first,notice,office,lead,present,hope.,local,degree,democrat,mr,can.,offer,strong,build,protect.,experts,discuss,ongoing,developments,public,health."
F226,Government Cover-Up Confirmed by Sources,FAKE,"mr,main,although,blood.,investment,everybody,interest,explain,discuss.,congress,realize,statement,interesting.,—,shocking,claims,government,cover-up,surface,internet."
F100,Flat Earth Confirmed by Sources,FAKE,"system,allow,three,loss,check.,manager,population,movement,learn,many.,—,shocking,claims,flat,earth,surface,internet."
F246,Government Cover-Up Confirmed by Sources,FAKE,"always,south,manager,must,coach.,east,hotel,teach,country,land,growth,him.,—,shocking,claims,government,cover-up,surface,internet."
F183,Aliens Confirmed by Sources,FAKE,"industry,color,better,theory.,majority,make,then.,site,feel.,—,shocking,claims,aliens,surface,internet."
R063,New Report on Policy,REAL,"party,hotel,build,focus,news,goal,bed.,amount,site,large,seek,low,east.,experts,discuss,ongoing,developments,policy."
R005,New Report on Election,REAL,"culture,run,professor,high,reason.,push,ok,minute,clearly,article,road,growth,eye.,experts,discuss,ongoing,developments,election."
R084,New Report on Election,REAL,"couple,someone,fine,career,trip.,personal,minute,issue,improve.,office,almost,capital,enjoy.,write,care.,experts,discuss,ongoing,developments,election."
R124,New Report on Education,REAL,"save,fact,fear,indeed,word,no.,experts,discuss,ongoing,developments,education."
R118,New Report on Research,REAL,"return,white,look,say.,experts,discuss,ongoing,developments,research."
F001,Aliens Confirmed by Sources,FAKE,"position,student,big.,push,north,people,source,much,hour.,one,analysis,election,close,type,attack.,—,shocking,claims,aliens,surface,internet."
F007,Immortal Jellyfish Confirmed by Sources,FAKE,"radio,indeed,need,seven.,stand,east,great,expect,sing.,marriage,room,commercial,recent,father,rich,voice.,—,shocking,claims,immortal,jellyfish,surface,internet."
F046,Mind Control Confirmed by Sources,FAKE,"walk,heavy,american,relate,per.,light,performance,mr,get,director,gas,other.,career,final,perhaps,small.,worker,door,agent,section.,—,shocking,claims,mind,control,surface,internet."
R103,New Report on Research,REAL,"call,head,crime,offer,keep,today.,page,several,employee.,experts,discuss,ongoing,developments,research."
R037,New Report on Budget Report,REAL,"million,star,drop.,technology,agent,someone,room.,experts,discuss,ongoing,developments,budget,report."
F193,Secret Cure Confirmed by Sources,FAKE,"public,nature,might,happen.,collection,occur,body,history,election,she.,member,hospital,thousand,third,understand,cup.,—,shocking,claims,secret,cure,surface,internet."
R166,New Report on Election,REAL,"star,much.,run,foreign,avoid,no.,fire,add,plant,say,like.,experts,discuss,ongoing,developments,election."
F017,Immortal Jellyfish Confirmed by Sources,FAKE,"likely,able,mention,high,yeah.,card,listen,trouble,site,both.,—,shocking,claims,immortal,jellyfish,surface,internet."
R008,New Report on Economic Growth,REAL,"type,financial,bring.,really,organization,effort,again.,experts,discuss,ongoing,developments,economic,growth."
F071,Celebrity Scandal Confirmed by Sources,FAKE,"ask,suddenly,fight,yeah,receive.,material,machine,carry,dinner.,—,shocking,claims,celebrity,scandal,surface,internet."
F028,Mind Control Confirmed by Sources,FAKE,"far,son,ability,tax,make.,tough,relationship,commercial,fight,little,well,commercial.,stuff,church,reality,tend.,—,shocking,claims,mind,control,surface,internet."
F227,Immortal Jellyfish Confirmed by Sources,FAKE,"local,radio,late,drive,theory.,kind,congress,traditional,glass,page.,—,shocking,claims,immortal,jellyfish,surface,internet."
R200,New Report on Public Health,REAL,"others,decision.,recently,box,sign,media,though.,service,crime,ability,state,discover.,experts,discuss,ongoing,developments,public,health."
R225,New Report on Climate Change,REAL,"us,catch,perform,night,very.,picture,indicate,themselves.,star,behind,organization,put.,experts,discuss,ongoing,developments,climate,change."
R062,New Report on Budget Report,REAL,"improve,think,last,toward,sometimes,series,how.,especially,town,actually,environment,add,democrat,glass.,front,skill,clearly,condition.,experts,discuss,ongoing,developments,budget,report."
F033,Hoax Confirmed by Sources,FAKE,"debate,worker,picture,study,decade,imagine.,finish,already,common,find.,—,shocking,claims,hoax,surface,internet."
F012,Hoax Confirmed by Sources,FAKE,"step,moment,contain,put,marriage,day,nature.,father,usually,table,arm,along,cause.,—,shocking,claims,hoax,surface,internet."
R121,New Report on Research,REAL,"form,ten,boy,perform,charge,card,his.,rich,follow,market,try,receive,remain,recent.,experts,discuss,ongoing,developments,research."
F210,Aliens Confirmed by Sources,FAKE,"commercial,citizen,determine,enough,woman,that.,—,shocking,claims,aliens,surface,internet."
F151,Hoax Confirmed by Sources,FAKE,"score,order,well,want,theory.,pattern,doctor,mrs,share,military.,ability,like,difference,country,similar,even,owner.,—,shocking,claims,hoax,surface,internet."
F099,Secret Cure Confirmed by Sources,FAKE,"low,traditional,subject,avoid,garden,challenge,economic.,position,maybe,raise,religious,seek,environmental.,—,shocking,claims,secret,cure,surface,internet."
R090,New Report on Technology Breakthrough,REAL,"conference,degree,phone,buy,several,identify,film.,process,thought,trial.,resource,step,item.,experts,discuss,ongoing,developments,technology,breakthrough."
R125,New Report on Budget Report,REAL,"opportunity,training.,citizen,rest,add,memory.,experts,discuss,ongoing,developments,budget,report."
R091,New Report on Climate Change,REAL,"capital,back,television,teacher,force,industry,campaign.,movement,final,role,while.,like,within,sing,discuss,fall,name.,experts,discuss,ongoing,developments,climate,change."
